Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kilotonnes","184.1995","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kilotonnes","4.7755","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2001","2001","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2001","2001","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2002","2002","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2002","2002","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2003","2003","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2003","2003","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2004","2004","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2004","2004","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2005","2005","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2005","2005","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2006","2006","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2006","2006","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2007","2007","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2007","2007","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2008","2008","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2008","2008","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2009","2009","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2009","2009","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2010","2010","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2010","2010","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2011","2011","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2011","2011","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2012","2012","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2012","2012","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2013","2013","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2013","2013","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2014","2014","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2014","2014","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2015","2015","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2015","2015","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2016","2016","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2016","2016","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2017","2017","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2017","2017","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2018","2018","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2018","2018","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2019","2019","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2019","2019","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6993","Fires in organic soils","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6993","Fires in organic soils","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2001","2001","3050","FAO TIER 1","kilotonnes","13.7746","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2001","2001","3050","FAO TIER 1","kilotonnes","1.2577","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2002","2002","3050","FAO TIER 1","kilotonnes","7.9956","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2002","2002","3050","FAO TIER 1","kilotonnes","0.73","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2003","2003","3050","FAO TIER 1","kilotonnes","28.4113","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2003","2003","3050","FAO TIER 1","kilotonnes","2.5941","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2004","2004","3050","FAO TIER 1","kilotonnes","21.5841","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2004","2004","3050","FAO TIER 1","kilotonnes","1.9707","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2005","2005","3050","FAO TIER 1","kilotonnes","10.8127","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2005","2005","3050","FAO TIER 1","kilotonnes","0.9872","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2006","2006","3050","FAO TIER 1","kilotonnes","8.4824","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2006","2006","3050","FAO TIER 1","kilotonnes","0.7745","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2007","2007","3050","FAO TIER 1","kilotonnes","11.9382","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2007","2007","3050","FAO TIER 1","kilotonnes","1.09","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2008","2008","3050","FAO TIER 1","kilotonnes","33.7599","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2008","2008","3050","FAO TIER 1","kilotonnes","3.0824","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2009","2009","3050","FAO TIER 1","kilotonnes","14.5792","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2009","2009","3050","FAO TIER 1","kilotonnes","1.3311","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2010","2010","3050","FAO TIER 1","kilotonnes","14.8052","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2010","2010","3050","FAO TIER 1","kilotonnes","1.3518","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2011","2011","3050","FAO TIER 1","kilotonnes","8.7122","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2011","2011","3050","FAO TIER 1","kilotonnes","0.7955","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2012","2012","3050","FAO TIER 1","kilotonnes","7.1048","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2012","2012","3050","FAO TIER 1","kilotonnes","0.6487","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2013","2013","3050","FAO TIER 1","kilotonnes","7.5554","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2013","2013","3050","FAO TIER 1","kilotonnes","0.6898","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2014","2014","3050","FAO TIER 1","kilotonnes","11.8794","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2014","2014","3050","FAO TIER 1","kilotonnes","1.0846","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6992","Forest fires","2015","2015","3050","FAO TIER 1","kilotonnes","10.6444","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6992","Forest fires","2015","2015","3050","FAO TIER 1","kilotonnes","0.9719","E","Estimated value",""
