Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kilotonnes","183.6148","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kilotonnes","4.7604","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kilotonnes","183.708","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","5066","Burning - Crop residues","2020","2020","3050","FAO TIER 1","kilotonnes","4.7628","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2001","2001","3050","FAO TIER 1","kilotonnes","13.7746","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2001","2001","3050","FAO TIER 1","kilotonnes","1.2577","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2002","2002","3050","FAO TIER 1","kilotonnes","7.9956","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2002","2002","3050","FAO TIER 1","kilotonnes","0.73","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2003","2003","3050","FAO TIER 1","kilotonnes","28.4014","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2003","2003","3050","FAO TIER 1","kilotonnes","2.5932","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2004","2004","3050","FAO TIER 1","kilotonnes","21.4872","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2004","2004","3050","FAO TIER 1","kilotonnes","1.9619","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2005","2005","3050","FAO TIER 1","kilotonnes","10.8127","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2005","2005","3050","FAO TIER 1","kilotonnes","0.9872","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2006","2006","3050","FAO TIER 1","kilotonnes","8.4824","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2006","2006","3050","FAO TIER 1","kilotonnes","0.7745","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2007","2007","3050","FAO TIER 1","kilotonnes","11.9382","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2007","2007","3050","FAO TIER 1","kilotonnes","1.09","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2008","2008","3050","FAO TIER 1","kilotonnes","33.7599","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2008","2008","3050","FAO TIER 1","kilotonnes","3.0824","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2009","2009","3050","FAO TIER 1","kilotonnes","14.5345","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2009","2009","3050","FAO TIER 1","kilotonnes","1.3271","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2010","2010","3050","FAO TIER 1","kilotonnes","14.8027","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2010","2010","3050","FAO TIER 1","kilotonnes","1.3515","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2011","2011","3050","FAO TIER 1","kilotonnes","8.7097","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2011","2011","3050","FAO TIER 1","kilotonnes","0.7952","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2012","2012","3050","FAO TIER 1","kilotonnes","7.1048","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2012","2012","3050","FAO TIER 1","kilotonnes","0.6487","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2013","2013","3050","FAO TIER 1","kilotonnes","7.5231","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2013","2013","3050","FAO TIER 1","kilotonnes","0.6869","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2014","2014","3050","FAO TIER 1","kilotonnes","11.862","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2014","2014","3050","FAO TIER 1","kilotonnes","1.0831","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2015","2015","3050","FAO TIER 1","kilotonnes","10.6369","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2015","2015","3050","FAO TIER 1","kilotonnes","0.9712","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2016","2016","3050","FAO TIER 1","kilotonnes","11.1282","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2016","2016","3050","FAO TIER 1","kilotonnes","1.0161","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2017","2017","3050","FAO TIER 1","kilotonnes","5.9036","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2017","2017","3050","FAO TIER 1","kilotonnes","0.539","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2018","2018","3050","FAO TIER 1","kilotonnes","12.8163","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2018","2018","3050","FAO TIER 1","kilotonnes","1.1702","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2019","2019","3050","FAO TIER 1","kilotonnes","12.5329","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2019","2019","3050","FAO TIER 1","kilotonnes","1.1443","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","6992","Forest fires","2020","2020","3050","FAO TIER 1","kilotonnes","11.5683","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","6992","Forest fires","2020","2020","3050","FAO TIER 1","kilotonnes","1.0562","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2001","2001","3050","FAO TIER 1","kilotonnes","0.024","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2001","2001","3050","FAO TIER 1","kilotonnes","0.0022","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2002","2002","3050","FAO TIER 1","kilotonnes","0.1784","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2002","2002","3050","FAO TIER 1","kilotonnes","0.0163","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2003","2003","3050","FAO TIER 1","kilotonnes","0.0932","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2003","2003","3050","FAO TIER 1","kilotonnes","0.0085","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2004","2004","3050","FAO TIER 1","kilotonnes","0.0506","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2004","2004","3050","FAO TIER 1","kilotonnes","0.0046","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2005","2005","3050","FAO TIER 1","kilotonnes","0.0746","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2005","2005","3050","FAO TIER 1","kilotonnes","0.0068","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2006","2006","3050","FAO TIER 1","kilotonnes","0.0426","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2006","2006","3050","FAO TIER 1","kilotonnes","0.0039","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2007","2007","3050","FAO TIER 1","kilotonnes","0.0506","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2007","2007","3050","FAO TIER 1","kilotonnes","0.0046","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2008","2008","3050","FAO TIER 1","kilotonnes","0.0027","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2008","2008","3050","FAO TIER 1","kilotonnes","0.0002","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2009","2009","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2009","2009","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2010","2010","3050","FAO TIER 1","kilotonnes","0.032","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2010","2010","3050","FAO TIER 1","kilotonnes","0.0029","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2011","2011","3050","FAO TIER 1","kilotonnes","0.0053","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2011","2011","3050","FAO TIER 1","kilotonnes","0.0005","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2012","2012","3050","FAO TIER 1","kilotonnes","0.0586","E","Estimated value",""
"GT","Emissions Totals","156","China, mainland","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2012","2012","3050","FAO TIER 1","kilotonnes","0.0053","E","Estimated value",""
